Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Voltage (V),Voltage (V)
11/18/18 1:30,25.4,0.121,0.005
11/18/18 1:30,25.6,0.121,0.005
11/18/18 1:30,25.8,0.127,0.005
11/18/18 1:30,26,0.129,0.005
11/18/18 1:30,26.2,0.14,0.004
11/18/18 1:30,26.4,0.146,0.004
11/18/18 1:30,26.6,0.146,0.005
11/18/18 1:30,26.8,0.143,0.006
11/18/18 1:30,27,0.137,0.005
11/18/18 1:30,27.2,0.142,0.005
11/18/18 1:30,27.4,0.134,0.005
11/18/18 1:30,27.6,0.126,0.005
11/18/18 1:30,27.8,0.129,0.005
11/18/18 1:30,28,0.132,0.005
11/18/18 1:30,28.2,0.139,0.004
11/18/18 1:30,28.4,0.146,0.005
11/18/18 1:30,28.6,0.153,0.005
11/18/18 1:30,28.8,0.143,0.005
11/18/18 1:30,29,0.142,0.004
11/18/18 1:30,29.2,0.151,0.005
11/18/18 1:30,29.4,0.145,0.005
11/18/18 1:30,29.6,0.143,0.005
11/18/18 1:30,29.8,0.14,0.006
11/18/18 1:30,30,0.137,0.005
11/18/18 1:30,30.2,0.139,0.004
11/18/18 1:30,30.4,0.126,0.005
11/18/18 1:30,30.6,0.126,0.005
11/18/18 1:30,30.8,0.126,0.004
11/18/18 1:30,31,0.143,0.005
11/18/18 1:30,31.2,0.134,0.005
11/18/18 1:30,31.4,0.139,0.005
11/18/18 1:30,31.6,0.154,0.005
11/18/18 1:30,31.8,0.151,0.005
11/18/18 1:30,32,0.156,0.005
11/18/18 1:30,32.2,0.146,0.005
11/18/18 1:30,32.4,0.142,0.004
11/18/18 1:30,32.6,0.146,0.005
11/18/18 1:30,32.8,0.146,0.005
11/18/18 1:30,33,0.15,0.005
11/18/18 1:30,33.2,0.152,0.005
11/18/18 1:30,33.4,0.151,0.004
11/18/18 1:30,33.6,0.136,0.004
11/18/18 1:30,33.8,0.136,0.005
11/18/18 1:30,34,0.128,0.005
11/18/18 1:30,34.2,0.129,0.005
11/18/18 1:30,34.4,0.133,0.005
11/18/18 1:30,34.6,0.134,0.005
11/18/18 1:30,34.8,0.134,0.005
11/18/18 1:30,35,0.132,0.005
11/18/18 1:30,35.2,0.12,0.004
11/18/18 1:30,35.4,0.129,0.005
11/18/18 1:30,35.6,0.117,0.005
11/18/18 1:30,35.8,0.12,0.004
11/18/18 1:30,36,0.123,0.005
11/18/18 1:30,36.2,0.132,0.004
11/18/18 1:30,36.4,0.14,0.005
11/18/18 1:30,36.6,0.142,0.004
11/18/18 1:30,36.8,0.15,0.005
11/18/18 1:30,37,0.157,0.005
11/18/18 1:30,37.2,0.156,0.005
11/18/18 1:30,37.4,0.156,0.005
11/18/18 1:30,37.6,0.155,0.005
11/18/18 1:30,37.8,0.155,0.005
11/18/18 1:30,38,0.146,0.005
11/18/18 1:30,38.2,0.135,0.005
11/18/18 1:30,38.4,0.129,0.004
11/18/18 1:30,38.6,0.124,0.005
11/18/18 1:30,38.8,0.119,0.005
11/18/18 1:30,39,0.116,0.005
11/18/18 1:30,39.2,0.118,0.005
11/18/18 1:30,39.4,0.116,0.006
11/18/18 1:30,39.6,0.107,0.005
11/18/18 1:30,39.8,0.11,0.385
11/18/18 1:30,40,0.132,0.005
11/18/18 1:30,40.2,0.127,0.005
11/18/18 1:30,40.4,0.133,0.005
11/18/18 1:30,40.6,0.129,0.005
11/18/18 1:30,40.8,0.123,0.005
11/18/18 1:30,41,0.12,0.005
11/18/18 1:30,41.2,0.112,0.005
11/18/18 1:30,41.4,0.111,0.005
11/18/18 1:30,41.6,0.114,0.005
11/18/18 1:30,41.8,0.125,0.005
11/18/18 1:30,42,0.132,0.006
11/18/18 1:30,42.2,0.137,0.005
11/18/18 1:30,42.4,0.128,0.006
11/18/18 1:30,42.6,0.132,0.005
11/18/18 1:30,42.8,0.131,0.005
11/18/18 1:30,43,0.126,0.005
11/18/18 1:30,43.2,0.127,0.005
